,date,month_day,crimes_committed
212,2020-01-13,01-13,643
213,2020-01-14,01-14,653
214,2020-01-15,01-15,632
215,2020-01-16,01-16,665
216,2020-01-17,01-17,578
217,2020-01-18,01-18,560
218,2020-01-19,01-19,500
219,2020-01-20,01-20,607
220,2020-01-21,01-21,580
221,2020-01-22,01-22,626
222,2020-01-23,01-23,580
223,2020-01-24,01-24,648
224,2020-01-25,01-25,655
225,2020-01-26,01-26,604
226,2020-01-27,01-27,685
227,2020-01-28,01-28,679
228,2020-01-29,01-29,613
229,2020-01-30,01-30,607
230,2020-01-31,01-31,687
231,2020-02-01,02-01,748
232,2020-02-02,02-02,650
233,2020-02-03,02-03,726
234,2020-02-04,02-04,630
235,2020-02-05,02-05,618
236,2020-02-06,02-06,543
237,2020-02-07,02-07,680
238,2020-02-08,02-08,619
239,2020-02-09,02-09,553
240,2020-02-10,02-10,614
241,2020-02-11,02-11,615
242,2020-02-12,02-12,619
243,2020-02-13,02-13,542
244,2020-02-14,02-14,579
245,2020-02-15,02-15,588
246,2020-02-16,02-16,614
247,2020-02-17,02-17,592
248,2020-02-18,02-18,652
249,2020-02-19,02-19,573
250,2020-02-20,02-20,581
251,2020-02-21,02-21,645
252,2020-02-22,02-22,675
253,2020-02-23,02-23,651
254,2020-02-24,02-24,585
255,2020-02-25,02-25,504
256,2020-02-26,02-26,590
257,2020-02-27,02-27,558
258,2020-02-28,02-28,643
259,2020-02-29,02-29,575
260,2020-03-01,03-01,656
261,2020-03-02,03-02,588
262,2020-03-03,03-03,611
263,2020-03-04,03-04,616
264,2020-03-05,03-05,571
265,2020-03-06,03-06,691
266,2020-03-07,03-07,574
267,2020-03-08,03-08,631
268,2020-03-09,03-09,558
269,2020-03-10,03-10,546
270,2020-03-11,03-11,579
271,2020-03-12,03-12,612
272,2020-03-13,03-13,650
273,2020-03-14,03-14,601
274,2020-03-15,03-15,554
275,2020-03-16,03-16,502
276,2020-03-17,03-17,552
277,2020-03-18,03-18,512
278,2020-03-19,03-19,461
279,2020-03-20,03-20,470
280,2020-03-21,03-21,427
281,2020-03-22,03-22,363
282,2020-03-23,03-23,382
283,2020-03-24,03-24,405
284,2020-03-25,03-25,415
285,2020-03-26,03-26,412
286,2020-03-27,03-27,400
287,2020-03-28,03-28,454
288,2020-03-29,03-29,484
289,2020-03-30,03-30,422
290,2020-03-31,03-31,365
291,2020-04-01,04-01,409
292,2020-04-02,04-02,356
293,2020-04-03,04-03,471
294,2020-04-04,04-04,407
295,2020-04-05,04-05,388
296,2020-04-06,04-06,417
297,2020-04-07,04-07,426
298,2020-04-08,04-08,408
299,2020-04-09,04-09,396
